,id,full_name,abbreviation,FG3A,FGA,FG3_PCT,FG3A / FGA,logo_path,TEAM_NAME,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,TEAM_NAME_per100,GROUP_SET_per100,GROUP_VALUE_per100,SEASON_YEAR_per100,GP_per100,W_per100,L_per100,W_PCT_per100,MIN_per100,FGM_per100,FGA_per100,FG_PCT_per100,FG3M_per100,FG3A_per100,FG3_PCT_per100,FTM_per100,FTA_per100,FT_PCT_per100,OREB_per100,DREB_per100,REB_per100,AST_per100,TOV_per100,STL_per100,BLK_per100,BLKA_per100,PF_per100,PFD_per100,PTS_per100,PLUS_MINUS_per100,GP_RANK_per100,W_RANK_per100,L_RANK_per100,W_PCT_RANK_per100,MIN_RANK_per100,FGM_RANK_per100,FGA_RANK_per100,FG_PCT_RANK_per100,FG3M_RANK_per100,FG3A_RANK_per100,FG3_PCT_RANK_per100,FTM_RANK_per100,FTA_RANK_per100,FT_PCT_RANK_per100,OREB_RANK_per100,DREB_RANK_per100,REB_RANK_per100,AST_RANK_per100,TOV_RANK_per100,STL_RANK_per100,BLK_RANK_per100,BLKA_RANK_per100,PF_RANK_per100,PFD_RANK_per100,PTS_RANK_per100,PLUS_MINUS_RANK_per100
10,1610612747,Los Angeles Lakers,LAL,31.1875,87.85,0.33644999999999997,0.35500853727945364,logos/LAL.png,Los Angeles Lakers,110.5,111.6,-1.0,104.2,Los Angeles Lakers,Overall,2022-23,2022-23,66,32,34,0.485,46.9,41.4,86.6,0.478,10.2,30.1,0.338,19.7,25.4,0.777,9.5,34.9,44.3,24.4,13.6,6.2,4.4,5.1,17.8,20.7,112.7,-0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1610612748,Miami Heat,MIA,34.40506329113924,85.0,0.3283037974683544,0.4047654504839911,logos/MIA.png,Miami Heat,109.0,109.5,-0.5,98.9,Miami Heat,Overall,2022-23,2022-23,66,35,31,0.53,49.5,39.8,88.0,0.452,11.9,35.5,0.337,19.6,23.6,0.83,10.2,31.9,42.1,24.0,13.7,8.4,3.1,3.8,19.3,20.6,111.1,-0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1610612749,Milwaukee Bucks,MIL,39.64,88.21333333333334,0.3649866666666667,0.4493651753325272,logos/MIL.png,Milwaukee Bucks,111.9,108.3,3.5,102.5,Milwaukee Bucks,Overall,2022-23,2022-23,65,47,18,0.723,47.5,41.3,88.3,0.467,14.4,39.5,0.365,16.6,22.4,0.744,11.1,36.9,48.0,24.5,14.5,6.3,4.8,4.0,18.2,18.8,113.6,4.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1610612750,Minnesota Timberwolves,MIN,33.298701298701296,86.23376623376623,0.34948051948051945,0.386144578313253,logos/MIN.png,Minnesota Timberwolves,110.9,110.9,0.0,103.6,Minnesota Timberwolves,Overall,2022-23,2022-23,67,34,33,0.507,47.2,41.8,85.3,0.49,11.8,32.9,0.359,17.4,22.8,0.764,8.8,31.8,40.6,24.9,15.3,8.0,5.4,3.9,21.2,19.5,112.9,-0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1610612751,Brooklyn Nets,BKN,32.32432432432432,83.54054054054055,0.37648648648648647,0.38692979618246515,logos/BKN.png,Brooklyn Nets,113.2,110.7,2.5,100.9,Brooklyn Nets,Overall,2022-23,2022-23,65,37,28,0.569,48.4,42.2,85.2,0.495,12.8,33.3,0.384,17.3,21.7,0.799,7.7,32.8,40.5,25.7,14.1,7.1,6.5,3.7,21.9,18.5,114.5,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1610612752,New York Knicks,NYK,35.19736842105263,88.60526315789474,0.3447763157894737,0.3972378972378972,logos/NYK.png,New York Knicks,114.1,111.0,3.1,99.4,New York Knicks,Overall,2022-23,2022-23,66,39,27,0.591,49.2,42.1,90.1,0.467,12.5,35.6,0.353,19.7,25.7,0.766,12.6,34.6,47.2,22.5,13.1,6.1,4.0,4.6,20.9,21.1,116.3,3.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1610612753,Orlando Magic,ORL,31.513157894736842,84.8157894736842,0.3406973684210526,0.37154824697486816,logos/ORL.png,Orlando Magic,109.2,111.7,-2.6,101.5,Orlando Magic,Overall,2022-23,2022-23,66,27,39,0.409,48.3,40.4,85.8,0.471,10.6,30.7,0.346,20.1,25.5,0.786,10.1,32.8,42.9,22.8,15.1,7.2,4.5,5.0,20.4,20.6,111.4,-2.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1610612754,Indiana Pacers,IND,37.14666666666667,88.69333333333333,0.35506666666666664,0.4188214070956104,logos/IND.png,Indiana Pacers,110.3,114.4,-4.1,103.5,Indiana Pacers,Overall,2022-23,2022-23,66,29,37,0.439,47.3,40.8,88.0,0.464,13.6,37.4,0.364,18.2,22.9,0.793,9.7,30.8,40.6,26.1,14.5,7.8,5.8,5.0,20.9,19.8,113.4,-2.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1610612755,Philadelphia 76ers,PHI,32.33766233766234,83.27272727272727,0.3749090909090909,0.38833437305053026,logos/PHI.png,Philadelphia 76ers,115.1,110.0,5.0,99.6,Philadelphia 76ers,Overall,2022-23,2022-23,64,42,22,0.656,49.0,41.0,84.8,0.484,12.9,33.3,0.387,21.6,25.8,0.834,8.6,32.3,40.9,25.5,13.7,7.9,4.7,4.8,20.8,20.3,116.5,3.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1610612756,Phoenix Suns,PHX,32.63513513513514,88.44594594594595,0.3674189189189189,0.3689839572192513,logos/PHX.png,Phoenix Suns,111.7,109.8,1.9,100.5,Phoenix Suns,Overall,2022-23,2022-23,65,36,29,0.554,48.7,42.1,90.4,0.466,12.4,32.9,0.378,17.3,21.9,0.791,12.0,32.6,44.6,27.4,14.1,7.3,5.0,4.0,21.3,20.4,114.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
